犬いぬ	狗 いぬ、いぬ- ケン dog words with this kanji: 子犬こいぬ - puppy
阪さか	坂 さか ベン、ホン、ハン、バン heights, slope words with this kanji: 大阪おおさか - Osaka
住じゅう	す.む、す.み、す.まう、-ず.まい ジュウ、ヂュウ、チュウ dwell, reside, live, inhabit words with this kanji: 住すむ - to live in, to inhabit, to dwell at 住所じゅうしょ
申しん	もう.す、もう.し-、さる シン have the honor to, sign of the monkey, 3-5PM, ninth sign of the Chinese zodiac words with this kanji: 申もうす - to say, to be called, to do
留りゅう	畄 と.める、と.まる、とど.める、 とど.まる、るうぶる リュウ、ル detain, fasten, halt, stop words with this kanji: 留学生りゅうがくせい - foreign exchange student 留守るす
年とし	秊、歳 とし、とせ、よわい、みのり ネン、デン year, (counter for years) words with this kanji: 年生ねんせい - nth-year student or pupil
違い	ちが.う、ちが.い、ちが.える、 -ちが.える、たが.う、たが.える、 よこしま イ difference, differ similar looking character(s): 達 words with this kanji: 違ちがい 違ちがう
小しょう	ちい.さい、こ-、お-、さ- ショウ little, small Shō (surname) words with this kanji: 小ちいさい - small 小学しょうがく - middle school 小学生しょうがくせい - middle school student 小包こづつみ - package, parcel 小説しょうせつ - novel, story, fiction 小浜おばま - Obama (Japanese surname, place name)
高こう	たか.い、たか、-だか、たか.まる、 たか.める、たか.さ コウ tall, high, expensive words with this kanji: 高たかい - high, expensive
族ぞく	輩 やから ゾク、ソク、ソウ tribe, family words with this kanji: 家族かぞく - family
息いき	いき、やす.む、やめる ソク、ショク breath, respiration, son, interest (on money) words with this kanji: 息子むすこ - son
戚せき	いた.む、うれ.える、みうち ソク、シャク、セキ grieve, relatives words with this kanji: 親戚しんせき - relatives
食しょく	く.う、く.らう、た.べる、は.む、 す.く、お.し、お.す、た.ぐ、た.ぶ、うか、うけ、け、し シ、ショク、イ、ジ、ジキ eat, food words with this kanji: 食たべる - to eat 食たべ物もの - food 食堂しょくどう - cafeteria
堂どう	たかどの、すまい ドウ、トウ public chamber, hall words with this kanji: 食堂しょくどう - canteen, cafeteria
好こう	この.む、このみ、す.き、す.く、よ.い、よし、よしみ、すめよい、すめよし、 よろし、よろしい、い.い コウ fond, pleasing, like something Yoshimi (male given name) words with this kanji: 好すき - like 大好だいすき - likeable, loveable 好物こうぶつ - favorite food 猫好ねこずき - ailurophile 格好かっこう - figure, shape, appearance お好このみ焼やき - okonomiyaki: a Japanese style of savoury pan-fried thick pancake including a mixture of vegetables and beef, pork or seafood
冷れい	つめ.たい レイ、リョウ cool, cold, chill words with this kanji: 冷蔵庫れいぞうこ - refrigerator 冷つめたい - cool
熱ねつ	あつ.い、いき.る、ほて.る、ほとぼり ネツ、ネチ heat, temperature, fever, mania, passion words with this kanji: 熱あつい - hot (thing)
嫌いや	厭 きら.う、きら.い、いや、うたが.う ケン、ゲン dislike, detest, hate words with this kanji: 嫌きらい - dislike, hated
安あん	やす.い、やす.らか、やす.まる、 やす、やす.んじる、いずく.んぞ アン relax, cheap, low, quiet, rested, contented, peaceful words with this kanji: 安やすい - cheap 不安ふあん 安心あんしん
辛しん	から.い、つら.い、-づら.い、かのと シン spicy, bitter, hot, acrid words with this kanji: 辛からい - spicy
韓かん	唐、漢 から、いげた ガン、カン Korea words with this kanji: 韓国かんこく - South Korea 韓国語かんこくご - Korean language of South Korea
眼まなこ	目 まなこ、め ガン、ゴン、ゲン eyeball words with this kanji: 眼鏡めがね - glasses
鏡かがみ	かがみ キョウ、ケイ mirror words with this kanji: 眼鏡めがね - glasses
愛あい	いつく.しむ、いと.しい、いと.おしむ、かな.しい、お.しむ、まな、め.でる アイ、オ love, affection 愛あいする - to love 私わたしを愛あいしていますか。 私わたしの母ははは父ちちを愛あいしています。 愛あいしてるんだ。
恋こい	戀、孤悲 こ.う、こい、こい.しい レン romance, in love, yearn for, miss, darling 恋こいする - (transitive) to be in (romantic) love words with this kanji: 恋こいに落おちる - to fall in love 恋こいしい
月つき	つき ガチ、ゲツ、ガツ month, moon Tsuki (female given name, surname) words with this kanji: 月曜日げつようび - Monday
働どう	はたら ドウ labor, work words with this kanji: 働はたらき 働はたらく
間あいだ	閑 あいだ、ま、あい カン、ケン interval, space similar looking character(s): 聞 words with this kanji: 時間じかん - time, hour 昼間ひるま - daytime 私わたしたちの間あいだには何なにも秘密ひみつがない。
来らい	來 く.る、きた.る、きた.す、き.たす、 き.たる、き、こ ライ、タイ come, due, next, cause, become Rai (surname) words with this kanji: 来くる- to come 来月らいげつ - next month 来週らいしゅう - next week 再来週さらいしゅう - the week after next 再来月さらいげつ - the month after next 来年らいねん - next year 再来年さらいねん - the year after next やって来くる - to be coming, to be arriving 持もって来くる - to bring (something to a person/place) 連つれて来くる - to bring (someone to a person/place) 未来みらい - the future 将来しょうらい - the future
仕し	つか.える シ、ジ attend, doing, official, serve words with this kanji: 仕事しごと - work, job
事こと	縡 こと、つか.う、つか.える ジ、ズ --broadly, any abstract thing, affair matter, or fact words with this kanji: 仕事しごと - work, job
買ばい	か.う メ、バイ buy words with this kanji: 買かう - to buy 買かい物まの - shopping
